stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,3.21,0,0,0,0,13.91,10.7,0,1.07,4.28,0,0,2.14,0,0,0,0,0
21Day,2.68,0,0,6.69,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,4.02,8.03,0,0,0,0,12.05,2.68,1.34,2.68,1.34,0,0,1.34,5.35,1.34,0,0,1.34
3Month,0,0.64,0.32,11.2,0.64,0.32,0.64,0.32,0.64,20.16,0,29.12,3.2,0.32,9.92,0.32,3.84,31.99,4.16,0.32,0,0.32,1.6,0.96,0.32,0.96,0.96,0,1.6,5.12,0,0,0,0.96,0.32,7.04
22Month,0.55,1.64,1.09,5.47,0,0.55,0,0,0,75.44,1.64,107.69,3.28,4.37,15.31,0,1.09,53.03,5.47,0,3.83,1.64,0,3.28,0.55,0,1.09,0.55,0.55,2.19,2.73,1.64,0,0,0,6.56
