stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,49.04,0,0,4.09
72hpf,0,0,0,0,0,0,3.21,0,0,1.07,5.35,0,0,0
21Day,2.68,0,0,0,1.34,0,0,0,4.02,0,5.35,0,0,0
3Month,0.32,0.32,0.96,0.64,0,0.32,0.96,0,0.32,0,0,0.32,0.32,0
22Month,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0
