stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,12.26,16.35,0,0,0,0,8.17,702.86,0,0,0,0,0,0,0,0,0,16.35,0,0,0
72hpf,6.42,0,9.63,9.63,3.21,0,0,0,0,0,0,0,0,0,0,0,4.28,16.05,6.42,23.54,0,2.14,0,0,234.28,382.99,1.07,3.21,0,16.05,1.07,1.07,78.09,5.35,1.07,21.4,0,0,0
21Day,8.03,2.68,28.11,5.35,9.37,0,0,0,0,0,0,0,0,0,0,1.34,1.34,18.74,2.68,14.72,0,0,4.02,0,78.97,155.27,1.34,0,0,18.74,4.02,0,44.17,0,1.34,4.02,0,0,1.34
3Month,0,0.32,17.92,0,0,0.32,0,0.32,1.6,2.88,0.64,0,18.24,1.92,0,3.52,3.52,4.8,16.32,5.12,0.32,0,6.08,2.24,11.2,1.28,2.88,1.6,0,0.64,0.32,40.31,5.76,0.32,0,0.64,0.96,34.55,0
22Month,0.55,8.75,18.04,0.55,0,0,0.55,0,1.64,4.37,8.2,0,120.81,0.55,0.55,12.03,0.55,1.09,15.31,6.56,0.55,4.92,5.47,0.55,9.29,0,8.2,6.01,1.09,0,0,25.69,15.31,0,0,0,0,0.55,1.09
