stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,16.35
72hpf,0,1.07,0,0,0,0,1.07,3.21,0,0,5.35,2.14
21Day,0,0,0,0,1.34,0,0,1.34,0,1.34,1.34,0
3Month,0,0,0.32,0.32,0.32,0.32,0.32,0,0.32,0,0,0
