stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,28.6,20.43,0,0,0,4.09,0,0,0,0,12.26,57.21,4.09,61.3,0,0,0,0,8.17,98.07,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,65.26,1.07,0,0,0,0,0,0,0,1.07,48.14,0,16.05,0,0,0,0,48.14,4.28,1.07,11.77,0,0,3.21,1.07,1.07,1.07,0,0,0
21Day,1.34,0,0,8.03,101.73,1.34,1.34,0,0,0,0,0,0,0,13.39,4.02,14.72,0,4.02,0,1.34,14.72,2.68,0,2.68,1.34,1.34,1.34,0,0,0,0,0,0
3Month,0,0,0.32,5.44,24,0,0.32,0,0,4.16,0.96,0,1.28,0.64,2.24,0.32,3.52,1.28,0,0.64,0.32,0.32,0.32,0,0,0.64,22.72,0.32,0,0,0.32,0.64,1.28,5.44
22Month,0,0.55,0,4.37,5.47,0,0,0.55,0,15.31,0,0.55,0.55,0.55,1.64,2.19,3.83,0,0,0,0,0,0,0,0,0,19.68,1.09,0,0,0,0,0,3.28
