stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,2.14,0,0,0,0,0,0,0,2.14,16.05,0,1.07,0,0,0,0,29.95,2.14,0,4.28,1.07,0,0,2.14,0,0,0,0
21Day,0,0,0,14.72,0,0,0,0,0,0,0,0,0,1.34,5.35,0,0,0,0,1.34,0,16.06,2.68,0,1.34,4.02,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,10.56,0.32,0,0.32,0.96,0.64,0,5.76,0.64,3.52,0.96,1.92,0.96,2.88,0.96,0,0.32,0.32,0,0,0.64,2.24,0.32,0.96,16.64,0.32,0.32,0.64,0.64,1.6
22Month,1.09,1.09,0.55,3.83,0,0,0,0,1.09,0.55,32.25,1.09,6.01,0,0,2.73,4.92,0,2.19,0,0,0.55,0,0,2.19,0.55,0,5.47,0,0,0,0,0
