stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,0,0,0,13.91,0,0,0,0,2.14,0,0,0,0,0,0
21Day,2.68,0,0,9.37,0,0,1.34,0,0,0,1.34,2.68,0,0,1.34,1.34,9.37,0,0,0,0,40.16,0,0,0,0,2.68,2.68,0,0,0,0,0
3Month,0,0.32,0.64,3.2,0,0,0,1.6,0.32,0,76.15,0,39.67,0.96,1.92,0.32,3.84,0.96,1.6,0.64,3.2,2.88,0,1.6,0,0,0,0.64,2.56,0,0.32,1.92,0.64
22Month,0,1.64,4.37,3.28,0,0.55,0,1.64,3.28,1.09,142.13,0,172.2,0.55,0.55,0.55,2.73,0,11.48,0,0,12.03,0,1.64,0.55,0.55,0.55,0,2.19,1.64,0,0,1.09
