stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell
72hpf,0,0,0,0,0,0,0,0,17.12
21Day,1.34,2.68,2.68,0,1.34,0,0,0,20.08
3Month,0,0,0,0.32,0,0.32,0,0.32,11.52
22Month,0,0,0,0,6.56,0,1.64,0.55,9.29
