stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,2.14,1.07,1.07,0,0,0,0,0
21Day,1.34,1.34,1.34,1.34,0,0,1.34,2.68,0,1.34,0,1.34,0,0
3Month,0,1.28,0,0,0.32,1.28,0,0.32,0,0,0,0,0.32,0.32
22Month,0,0,0,0,0,1.09,0,0,0,0,0.55,0,0,0
