stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,6.42,0,0,0,0,0,17.12,0,3.21,1.07,0,0,0
21Day,0,21.42,1.34,0,0,1.34,0,10.71,0,0,1.34,1.34,1.34,2.68
3Month,0.32,3.84,0,0.64,0.32,0,0.96,0.64,0.32,0,0,0,0.32,0.96
