stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,3.21,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,2.68,0,1.34,1.34,0,0,0,0,0,0,2.68,0,174.01,0,0,0,4.02,0,0,0,0,2.68,0,4.02,4.02,0,0,0,0
3Month,0.64,0.96,0.32,3.2,0.64,0,0.96,0,2.56,0,4.48,0.64,0,0.64,0.64,0.96,0.96,55.67,15.36,0,0.64,0.96,0,0.32,0,0,0.96,0.96,0,0,0.64,0.64,0.64,0.64
22Month,0.55,0,0,0.55,0,0,0,0,3.28,1.09,18.59,0,0.55,1.64,0,0,2.19,77.62,2.73,1.09,2.19,1.09,0,0,0.55,1.09,0,0.55,0.55,0,0,0,0,2.19
