stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,44.95,0,0
72hpf,1.07,1.07,0,2.14,0,1.07,0,0,0,1.07,2.14,21.4,0,1.07,2.14
21Day,0,0,0,0,0,0,1.34,1.34,1.34,1.34,2.68,8.03,2.68,0,1.34
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
