stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,1.07,0,0,0,1.07,1.07,2.14,0,0,0,7.49,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0,2.68,0,0,1.34,0,2.68,0,0,0,0,4.02,0,0,2.68,0,0,0
3Month,0.32,2.24,0,24,0.32,0,0.32,0.96,3.2,0.64,33.59,1.28,0.64,4.16,4.16,5.76,2.24,15.04,7.36,0,0.32,0.32,1.28,0,0.96,0.64,0,2.88,1.28,2.24,1.28,0.96,0.64,4.16
22Month,0,0.55,0.55,9.29,0,0,0,0,0,1.64,53.57,0.55,0,7.11,0,0.55,1.09,5.47,0.55,1.64,0,0,0.55,0,0,0,0.55,0.55,0.55,2.19,2.73,0,0,0
