stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,36.37,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,12.05,0,0,0,0,0,0,0,0,0
3Month,0.64,0.32,4.48,0.32,0,1.92,17.6,1.92,0.64,2.56,0.96,2.24,0.64,1.28,0.64,0.64,410.18,0.32,0.96,0.32,1.28,3.2,0.32,0.32,0.32,0.32
22Month,0,0,0,0,0.55,0.55,6.01,0,0,1.64,0,0,0,2.73,0,0,15.85,0,0,0,0,3.83,0,0,0,0
