stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,1.07,0,0,5.35,0,1.07,0,0,0,0,0
21Day,4.02,1.34,1.34,0,0,0,1.34,2.68,0,1.34,8.03,0,0,0,0,1.34,0,1.34
3Month,0.64,0,1.28,0,0,0,1.92,0.64,0.64,0.32,2.88,0,0,0.32,0,0,0.64,3.2
22Month,0,0,4.37,0.55,0,1.64,0.55,0,0.55,0,1.09,0.55,0,0,0.55,0,0,0
