stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,4.28,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0,0.96,0,0,2.56,0.32,0.96,0.32,0.96,0,0.32,0,0.32,0.32,0,0.64,0,0.32
22Month,0,0.55,0.55,1.64,0,1.09,11.48,0,1.09,0,0,0.55,0.55,0.55,0,0,0,1.64,0.55,0
