stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,42.79,2.14,0,0,0,0,2.14,2.14
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,18.74,2.68,0,1.34,1.34,1.34,0,0
3Month,0,0.32,0.96,0,0,0.32,0.32,3.52,1.6,0,0.32,0.64,0.64,0.32,0,0,0,0.32,0,0,1.6,0,0
22Month,0,0,0,0,1.09,1.09,0,16.95,0.55,0,1.64,0.55,0.55,1.09,0.55,0,0,0,0,0.55,0,0,0
