stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,147.11,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,8.56,9.63,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,21.42,0,0,1.34,1.34,0,1.34,18.74,0,0,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0.32,0.64,5.76,0,0.32,0.32,82.55,0,0.96,0.64,0,0.64,3.52,47.99,0,0,0,0.64,0,0,0,0.32,0.96,0,0.64,0
22Month,0,1.09,0.55,0,0,0,77.08,1.09,3.83,1.64,0,0,0,229.05,1.64,1.09,0.55,0,0.55,0,0.55,0,0,1.09,0,0.55
