stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,0,4.09,0
22Month,1.09,0.55,0.55,1.09,42.09,0.55,0,0.55
