stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,36.78,36.78,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,16.35,122.59,0,0,0,0,130.76,1409.81,0,0,36.78,0,0,4.09,0,0,0,0,0,0
72hpf,65.26,31.02,14.98,12.84,11.77,0,0,0,0,0,0,0,1.07,0,1.07,32.09,2.14,94.14,0,1.07,9.63,0,1746.97,400.1,3.21,13.91,65.26,1.07,0,131.58,3.21,2.14,12.84,0,0,0
21Day,74.96,9.37,22.76,2.68,14.72,4.02,0,0,1.34,0,0,1.34,6.69,1.34,1.34,10.71,4.02,160.62,0,0,45.51,0,564.86,180.7,8.03,21.42,30.79,24.09,0,72.28,6.69,13.39,9.37,1.34,0,4.02
3Month,0.96,10.56,2.56,0,0,0,0.32,0.32,1.28,0.96,3.84,0.32,0.96,3.52,0.32,0.64,0.64,36.79,8,0,5.44,0.32,8.96,0.96,5.76,9.92,0.64,0,7.36,3.84,0.32,0,0.32,13.12,4.16,1.6
22Month,0,7.65,3.28,0,0,0,0,0.55,0,1.09,14.76,0.55,0,0.55,0,0,1.64,22.96,2.73,0.55,3.28,0,2.19,0.55,4.92,5.47,0.55,0,3.28,4.37,0,0,0,0.55,0,0
