stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
3Month,0,0.32,1.6,0.64,0.96,6.08,0.96,2.88,0.64,0.96,1.6,0.32,0.96,0,0,0.32,0,0.32,0.96,14.4,2.56
22Month,0.55,0,0.55,0.55,0.55,7.65,0.55,3.83,0,0.55,1.64,0.55,0.55,0.55,0,0,0.55,0,1.09,0,0.55
