stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,8.17,20.43,8.17,8.17,4.09,0,0,0,0,0,0,16.35,4.09,20.43,85.81,0,0,28.6,420.9,12.26,0,0,0,4.09,0
72hpf,8.56,2.14,13.91,1.07,3.21,0,0,0,0,0,2.14,0,6.42,12.84,1.07,7.49,5.35,0,34.23,42.79,11.77,1.07,0,2.14,1.07,0
21Day,21.42,2.68,40.16,0,2.68,10.71,0,0,0,1.34,6.69,1.34,1.34,16.06,4.02,48.19,0,1.34,10.71,26.77,16.06,4.02,0,0,1.34,5.35
3Month,0,0.32,2.88,0,0,0,0.64,0.64,0,1.28,0,2.24,0.32,0.96,0.64,0.64,0,0,0,0,0,0.32,1.6,0,0,3.2
22Month,0,0.55,1.64,0,0,0.55,0,1.09,1.09,6.56,0.55,0,0,0.55,1.64,0.55,0.55,0,0,0,0,0,0,0,0,0
