stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,2.14,1.07,0,2.14,0,0
21Day,0,0,1.34,0,1.34,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0,0.32,0.32,0.32,0,0.64,0,0.32,0,0,0,2.88,0,1.6,0.32
22Month,0.55,0,0.55,0,0,0,0.55,0,0,0,0,6.01,0,0,0
