stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,85.81,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,5.35,4.28,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,17.4,0,0,0,0,0,0,16.06,0,5.35,0,0,1.34,2.68,10.71,0,1.34,0,2.68,0,0,0,0
3Month,0,0.32,0,20.48,0.32,0.32,0.32,4.8,0.64,4.16,3.2,1.28,1.92,0.32,0.32,2.56,0.96,0,1.6,0,2.88,0,0.64,0.32,0.32,1.92
22Month,0,0.55,0.55,1.64,0,0.55,0,3.83,0,3.28,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0
