stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,3.21,0,46,2.14,3.21,0
21Day,2.68,1.34,0,0,0,0,4.02,62.91,0,1.34,2.68
3Month,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,1.64,0,0.55,0,0,0,0,0,0
