stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.64,0.64,2.56,0.32,0.64,0.64,0.64,0.64,0.32,22.08,0.32,24.32,0.32
