stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,4.09,0,0,0,4.09,0,40.86,0
72hpf,0,0,0,0,1.07,6.42,0,0
21Day,0,0,0,1.34,4.02,17.4,1.34,1.34
22Month,0,0.55,0.55,0,0,0,0,0
