stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,1.07,47.07,6.42,1.07,1.07,0,1.07,0
21Day,0,0,4.02,0,1.34,0,0,0,24.09,1.34,0,0,0,0,0
3Month,0,0.32,0.32,0,0,0,0.32,0,0,0,0,0,1.6,0,0.96
22Month,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0
