stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,237.01,0,8.17,0,4.09,0,0,0
72hpf,8.56,5.35,0,4.28,5.35,0,0,0,0,0,0,0,1.07,0,2.14,2.14,0,27.81,0,1.07,0,21.4,44.93,0,10.7,0,13.91,0,0,0
21Day,8.03,2.68,0,17.4,0,2.68,0,0,0,0,0,0,2.68,0,0,1.34,6.69,52.2,0,0,0,9.37,21.42,0,12.05,1.34,2.68,1.34,0,0
3Month,0,2.24,0.32,4.48,0,0,0,0.32,1.6,0,3.84,1.28,0.32,2.24,1.6,4.16,1.6,14.72,8,0.64,0.64,0,0.32,0.32,0.96,0.64,0.32,0,1.28,0.96
22Month,0,3.28,0,1.64,0,0,0.55,1.09,0,0.55,13.12,0.55,2.19,0.55,0.55,1.09,2.73,12.57,0,0,0,0,0.55,0,0,0.55,1.09,0,0,1.64
