stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,2.88,0.64,4.16,0.32,1.28,3.2,0.32,9.28,1.92,0.32,2.56,0.64,0.96,1.92,1.92,0.32,0,0.96,0.32,0,0.96,0.64,1.28,6.72,0.32,0.32,0.96,70.07,0.96
22Month,0.55,0,1.09,0,0,0.55,0,21.32,1.09,0,3.28,0,0,0.55,2.19,0,0.55,1.09,0,0,0,0,0,2.73,0,0,0,0,1.09
