stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0,0,3.21,1.07,0,0,0,0
21Day,1.34,1.34,0,0,0,1.34,0,2.68,0,0,1.34,0,0
3Month,0.96,6.4,0.32,0,0.32,0,0.32,0,0,0.32,0.32,0.64,0.32
22Month,0,2.19,0,0,0,0,0,0,0,0,0,0.55,0
