stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,6.42,3.21,0,0,0
21Day,2.68,0,0,1.34,0,0,2.68,0
3Month,0.64,0.32,0.32,0.32,0,3.84,0,1.6
