stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07
21Day,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,1.34,0,1.34
3Month,0.32,0,0,0.64,0.32,0.96,0.32,0.32,0.32,0.32,0,0.32,0,0,0,0.64,0
22Month,0,0,0.55,0.55,0,1.64,0,0,0,0,0,0,0,0,0,0.55,0
