stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,77.64,0,0,0,0,0,0,0
72hpf,0,0,0,25.67,0,0,0,0,0,0,0,0,0,1.07,20.33,0,11.77,0,0,0,5.35,3.21,10.7,0,0,0,0,0,0
21Day,1.34,0,0,54.88,0,1.34,0,0,0,0,0,0,0,0,18.74,0,20.08,0,0,0,2.68,2.68,26.77,2.68,0,1.34,0,0,1.34
3Month,0.32,0.96,0,24.64,0.32,0,0.32,0.96,0,2.88,0.32,0.32,1.92,1.6,46.71,1.6,10.24,0.64,0,0.32,0,0.32,0,1.28,1.6,0,3.2,0.32,0.96
22Month,0,0,0.55,7.65,0,0,0.55,0.55,0.55,3.83,0,0,1.09,0,4.37,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0
