stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,2.88,0.32,0.64,0,48.63,0.96,0,13.44,2.56,0.32,0,1.28,0.64,0.32,12.48,0,0.32,0,2.24,4.16,0,0.64,2.56,0.32
22Month,0.55,0.55,4.37,1.09,5.47,5.47,32.8,1.64,0.55,1.64,1.64,2.19,4.37,6.01,2.73,0.55,0,0,0.55,237.79,0,0,0.55,0,0,0
