stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,220.67,0,0,0,0,0,4.09,0,8.17,0,0,0,0,32.69,0,73.56,8.17,0,4.09,0,0,28.6,339.17,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,2.14,0,48.14,3.21,10.7,0,1.07,0,9.63,0,0,0,0,0,0,4.28,28.88,0,31.02,0,0,0,0,178.66,416.15,20.33,1.07,0,17.12,1.07,0,1.07,161.54,1.07,1.07,0,0,0
21Day,5.35,0,0,61.57,0,30.79,0,0,0,5.35,0,0,1.34,8.03,5.35,1.34,4.02,0,1.34,56.22,0,0,2.68,0,275.74,74.96,30.79,2.68,0,9.37,9.37,0,2.68,6.69,0,0,0,0,0
3Month,0,0.96,1.28,21.76,0,0,0.32,0.64,6.4,77.43,0,0,11.84,497.52,1.28,7.36,1.92,26.88,8,11.52,17.92,0,1.92,0.64,6.4,0,36.79,0.96,0,0,1.28,0.64,29.12,0,0,0,1.92,19.2,2.56
22Month,0,2.19,1.09,15.85,0,0,2.19,0,3.28,98.94,0.55,0,26.79,172.2,1.09,1.64,0.55,3.83,8.75,93.48,0,0.55,1.64,1.09,1.64,0,53.03,0,8.2,0.55,0,0,22.96,2.73,0,0,1.09,0,1.64
