stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0
3Month,0.32,0.32,1.92,0.64,0.64,0.32,0,1.92,28.48
