stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,0,3.21,1.07,77.02,1.07,0,0,0,0,0,0,0,0,0,0
21Day,20.08,0,0,8.03,1.34,22.76,1.34,0,1.34,0,1.34,1.34,0,1.34,1.34,2.68,18.74,1.34,409.59,18.74,5.35,9.37,0,2.68,2.68,5.35,2.68,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,1.6,0,0,1.28,0.32,0,0,0,0.32,0,0,0,0,0.64,0,0,0,0,0.32,1.28,0
22Month,0,0,0.55,0.55,0,0,0,0.55,0.55,6.56,0,0,0,0,0.55,0,2.19,0,4.37,0,0,0,3.28,1.09,0,0,0,0,0,0.55
