stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,474.02,12.26,0,0,0,0,85.81,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,1.07,206.47,7.49,0,0,0,0,65.26,6.42,0,0,8.56,0,0,1.07,0,0,0,0
21Day,0,0,1.34,1.34,0,1.34,0,0,0,0,0,5.35,0,0,0,188.73,8.03,0,0,1.34,0,34.8,1.34,0,0,5.35,1.34,0,0,0,2.68,0,0
3Month,0.32,0.32,5.44,0,0.32,0.32,0.96,0.96,0,8.96,1.6,0.64,2.24,0.96,2.24,346.51,2.24,0.32,0,0.96,0.64,3.84,0.32,0.32,0.32,0,1.28,1.6,0,0.32,0,0.64,1.6
22Month,0,0.55,1.64,0,0,0,0,4.37,1.64,15.85,1.09,1.09,2.73,0.55,0,207.18,1.64,0,0.55,0,0,1.64,0,0,1.64,0,1.09,1.09,0.55,0.55,0,0,1.09
