stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,0,4.09,0
72hpf,0,0,0,0,0,2.14,2.14,0
21Day,1.34,0,0,1.34,1.34,1.34,0,1.34
22Month,0,0.55,0.55,0,0,0,0,0
