stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,1.07,0,1.07,0,0
21Day,2.68,1.34,0,0,0,0,0,1.34,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
3Month,2.88,0,0,1.6,0,0.64,2.56,0,0.64,0.64,0.96,0.96,0.96,0,0.32,0.32,0,0.32,0,0,0.96,0.32
22Month,4.37,0,1.09,1.64,1.09,3.28,0.55,0,0,0,0,1.09,1.09,1.09,0,0,1.09,0,0.55,0,0,0
