stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,6.42,0,0,0,0,0,0,0,0,18.19,1.07,0,0,5.35,2.14,0,0,0,0,0,0,0
21Day,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0
3Month,0.32,47.03,0.32,0.32,0.32,2.56,2.88,4.16,1.28,0.64,39.99,0.64,0.64,0.32,0.32,0,0.32,0.96,1.28,0,0.96,0.96,0.32
22Month,0,2.73,0.55,0,0,0,0.55,0,0,0.55,1.64,0.55,0,0,0,0,0,0,0,0.55,0,0,0
