stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,20.43,0,57.21,0,4.09,0,0,0,0,0,4.09,0,0,4.09,0,0,24.52,36.78,98.07,0,0,0,0,380.04,5336.84,0,0,0,4.09,0,0,4.09,0,0,12.26,0,0,0
72hpf,20.33,1.07,0,8.56,6.42,7.49,0,0,0,0,0,0,0,0,0,0,4.28,25.67,2.14,47.07,0,1.07,2.14,0,239.63,874.02,0,21.4,0,57.77,0,1.07,446.1,11.77,10.7,8.56,0,0,0
21Day,25.43,0,0,21.42,1.34,5.35,0,0,0,1.34,0,0,5.35,0,1.34,0,1.34,4.02,5.35,99.05,0,0,12.05,0,88.34,265.03,0,16.06,0,74.96,16.06,2.68,269.05,13.39,26.77,1.34,0,0,1.34
3Month,1.28,0.96,1.28,8,0,0,0.64,0.96,0.96,2.88,0,0,206.05,2.56,0,5.44,0.96,4.16,2.88,61.75,18.24,0.32,2.88,0.64,2.88,4.16,0.64,16.64,0,0.32,4.8,34.55,19.2,0,0,1.28,1.28,7.36,0.96
22Month,1.09,1.64,1.64,4.37,0,0,0.55,0,0,2.73,2.19,0,112.61,0.55,0,2.73,0,1.09,4.37,65.05,2.19,1.64,3.28,0,0.55,1.09,0.55,3.28,3.28,1.09,0.55,13.12,49.2,3.83,0,0.55,0,0,0
