stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,5.35,5.35,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,5.35,5.35,0,2.68,0,0,0,2.68,0,1.34,1.34,0,4.02,0,2.68,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,2.68,0,2.68,0,0,0
3Month,0.64,0.64,8,0,1.28,0.64,0.64,1.28,0,59.83,2.88,0,5.44,2.56,4.8,1.6,2.24,0.64,0.96,0.96,0.64,0.32,0,0.96,0,0,0.64,0.32,15.36,0.96,0,0,0.64,46.71,1.6
22Month,0,0,2.19,0,0,1.09,1.64,1.09,2.19,77.62,1.09,1.09,10.39,0,1.09,3.83,2.73,3.28,1.09,0,0,0,0.55,0,1.09,0.55,0,0,7.11,0.55,0,0,0,0,1.64
