stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,3.21,0,0,0,0,0,0,0,0,2.14,0,1.07,1.07,0,0,0,2.14,1.07,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,2.68,0,0,4.02,0,0,0,1.34,0,0,0,0,0,0,0,2.68,0,0
3Month,0.96,1.6,11.84,0,0,0,0.32,1.28,0.64,0,8.64,1.92,0.96,2.24,2.56,1.28,2.24,0.32,0.32,0.64,1.28,0.32,0.32,0,0.32,3.2,0,0,0.32,2.24,1.28
22Month,0,2.73,1.64,0,0,0.55,0.55,1.09,2.19,0.55,25.15,0,2.73,0,0.55,0.55,3.28,0,0,0,0.55,0.55,0,0,0.55,0.55,0.55,0.55,0,0,1.09
