stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
21Day,4.02,0,0,77.63,1.34,16.06,1.34,0,0,1.34,1.34,2.68,1.34,0,26.77,2.68,4.02,0,4.02,633.13,12.05,4.02,0,0,1.34,12.05,0,0,10.71,0,0
3Month,0,0.96,0.64,3.52,0,0,0,0.32,0.32,4.8,0.96,0,0.96,0.32,0.64,3.2,0.64,0.32,0,231,0.32,0,0.32,0.32,0,0,0,0.32,0,0.64,0.96
22Month,0,0,0,0.55,0,0,0,0,0.55,2.19,0,0,0,0,0,0,0,0,0,26.24,0,0,0,0,0,0,0.55,0,0,0,0
