stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,0,0,5.35,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,2.88,0,0.32,14.72,0,7.04,51.83,0.32,0.32,6.72,27.84,0.96,0,0.64,0.64,0,0.32,0,0.32,0.64,0.32,1.6
22Month,0,1.09,0,0.55,0,9.84,1.09,31.16,8.2,0,0,0.55,24.6,0,1.64,0.55,0,0,0,0.55,0,0,0,0
