stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,4.09,0,0,0,8.17,0,0,4.09,12.26,1140.11,0,0,0,0,0,4.09
72hpf,4.28,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,74.89,60.98,0,12.84,0,0,7.49,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,6.69,5.35,0,16.06,1.34,0,2.68,0
3Month,0,0,0.64,0,0,0,0,0.32,0.64,0.32,0,0,0.96,0,0,0,0,10.24,0,0,0,0
22Month,0,0,0.55,0.55,1.09,0.55,0,17.49,0.55,0,0,0,0,0,0,0,0.55,9.84,0,2.73,0,0
