stage,Cardiomyocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,4.09,4.09,4.09,16.35,0
72hpf,0,0,0,0,8.56,0,1.07
21Day,0,0,0,0,0,2.68,0
3Month,0,0.64,0.32,0,0,0,0
22Month,0,3.28,0,0.55,0,0,0
