stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09
72hpf,0,0,1.07,0,0,0,0,1.07,11.77,5.35,1.07,0,0,2.14,3.21,102.7
21Day,2.68,1.34,2.68,2.68,1.34,2.68,1.34,8.03,22.76,4.02,0,2.68,2.68,5.35,0,96.37
