stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,7.49,9.63,0,0,0,0,0,0,4.28,0,0,23.54,0,2.14,0,0,0,13.91,5.35,0,0,0,0,0,1.07,0,9.63,0,0,0
21Day,0,0,0,8.03,2.68,5.35,0,0,0,0,1.34,0,32.12,1.34,0,41.49,6.69,12.05,0,0,0,8.03,5.35,0,0,1.34,2.68,0,1.34,0,38.82,0,0,33.46
3Month,0.32,0,0.32,5.12,0.64,0,0.64,0.32,0.32,0.96,4.48,1.28,0.64,1.92,3.2,9.92,3.2,3.2,0.32,0,0,1.28,0,0.64,0.32,0,0.32,41.59,0.32,0,3.84,0,3.52,49.91
22Month,1.64,0.55,0.55,2.73,1.64,0,0,0,0,3.83,30.07,1.09,3.83,0.55,0.55,16.4,4.37,2.19,0,0.55,0.55,2.19,3.83,0.55,0,0,0,9.84,20.23,1.09,0.55,1.64,0,37.72
