stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,4.09,16.35,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,1.07,0,0,0,0,0,1.07,4.28,0,1.07,8.56,6.42,1.07,6.42,0,1.07,0,0
21Day,2.68,0,2.68,1.34,0,0,0,0,0,0,1.34,2.68,1.34,16.06,0,2.68,2.68,0,0,6.69,0,0,0,0
3Month,0,6.72,1.6,0,0,0.32,0.32,0,2.24,0,0.64,0,0.32,6.08,0.64,0.64,0.96,0,0,0.32,0.32,0,0.32,0
22Month,0,2.73,0.55,0,0,0.55,0,0.55,2.73,0.55,0,0.55,0,1.09,0,0.55,0,0,0,0,0,0,0,0.55
