stage,Cardiomyocyte,Enterocyte,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,17.12,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,6.69,2.68,9.37,13.39,0,34.8,2.68,0,1.34,0,0,1.34
3Month,0,0,0,0,0.64,0,4.16,0,0.32,1.28,0.64,0,0,0,0.32,0
22Month,0,0.55,0,0,7.11,3.28,47.01,0,0,10.93,1.64,0.55,0,0.55,0,0
