stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,0,0,0,0,0,0,1.07,1.07,42.79,1.07,0,3.21,0,0,0,0
21Day,0,0,1.34,0,0,1.34,0,0,0,1.34,0,4.02,40.16,2.68,0,1.34,0,0,0,0
3Month,0,0,1.28,0,0.32,0.64,2.88,2.24,0.32,0,0,1.28,1.28,0,0,0,1.28,0,0.64,1.92
22Month,0,1.09,0,0,0,0,7.65,2.19,0,0,0.55,1.64,0,0,0.55,0,3.83,0.55,0,1.09
