stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,4.09,0,0,0,0,8.17,0,0
72hpf,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,4.02,0
3Month,0.64,0,0,2.24,0.32,0,0.32,0
22Month,0,1.09,0.55,11.48,0,0,0,0.55
