stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,4.28,0,3.21,1.07,2.14,18.19,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,0,12.05,1.34,0,0,0,0,0,0,0,14.72,0,1.34,2.68,0,41.49,1.34,0,2.68,0,1.34,0,0,0,0,0,0
3Month,0,0.32,1.92,0,0,0.32,0.32,0,5.12,0.64,0,0.32,0.32,0,0,0,0,0.32,0,4.16,0,0,1.28,0.32,0,0.64,0.32,0.96
22Month,0.55,0.55,2.73,0,0.55,1.09,1.64,0.55,20.77,0.55,3.83,0.55,0,1.09,1.64,0,0.55,0,0,9.29,0.55,0,0,0.55,0.55,0,0,0
