stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,6.42,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,0,4.28,2.14,0,0,0,0,0
21Day,6.69,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,4.02,2.68,1.34,1.34,0,0
3Month,0,0.32,4.48,0.32,0.32,0,0,1.92,0,0.32,1.28,0,0,0,0.32,0,0,0,6.08,0,0,0.64,0.32
22Month,0,0,2.19,0.55,0.55,2.73,2.19,67.24,2.19,0.55,3.83,0,0.55,2.73,1.64,1.09,0.55,0,1.09,0,0,0,0.55
