stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,1.07,2.14,0,0,3.21,5.35,0,5.35,0,0,0,0
21Day,0,1.34,5.35,0,0,0,0,0,0,0,2.68,0,0,0,4.02,0,0,0,1.34,0,0
3Month,0,0,0,0,0,0.96,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0.64
22Month,0,1.64,0,3.83,0,6.01,1.09,0,0,0.55,0,0.55,0,0,0,0.55,0,0.55,0,0,0
