stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,12.26,0,16.35,0,0,8.17,261.53,4.09,0,12.26,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,3.21,6.42,0,23.54,0,0,38.51,104.84,0,2.14,17.12,0,0,7.49,0,0,0,0,0
21Day,6.69,1.34,0,13.39,0,12.05,0,8.03,1.34,0,1.34,2.68,1.34,0,13.39,0,36.14,0,1.34,4.02,20.08,0,0,14.72,2.68,4.02,1.34,1.34,1.34,0,0,2.68
3Month,0,0.32,0.64,5.12,0.32,0,0.64,0,2.24,3.84,0.96,0.32,1.28,0.32,1.28,0,2.24,0,0,0,0,0,0,0,0,8,0,0,0,0.96,6.08,1.6
22Month,0,0,0.55,0,0,0,0,0,0,1.09,0.55,0,1.09,0,0,0.55,1.09,1.09,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0
