stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,28.6,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,23.54,17.12,1.07,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,2.68,0,0,0,0,0,0,2.68,0,0,0,0,12.05,0,0,0,6.69,5.35,0,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0.96,4.8,0,0,0.32,1.92,16.64,1.28,0,1.6,0.32,2.56,2.24,1.6,0.64,0.96,0.32,0.96,0.64,0.64,0,0,21.12,0.32,0,0,0.32,5.44,74.87,1.92
22Month,0,0,0,0,0.55,0,0,10.39,0.55,0,1.09,0,0,2.19,1.09,0,0,0,0,0,0.55,0,0,1.64,0,0.55,0,0,0.55,0,0.55
