stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,1.07,2.14,0,0,0
21Day,0,0,0,0,1.34,0,1.34,0,0,1.34,4.02,0,0,0
3Month,0,0,0.32,0,0.32,0.32,0,0.32,0,0,0,0.32,0.64,0.64
22Month,1.09,1.09,0,0.55,1.09,0,0,0,0,0,0,0,0,0
