stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,20.43,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,3.21,3.21,0,0,0,0,0,0,0,0,1.07,13.91,1.07,7.49,0,0,0,0,9.63,10.7,0,0,3.21,0,0,1.07,0,0,0,0
21Day,2.68,0,1.34,33.46,1.34,16.06,8.03,0,0,0,0,0,9.37,1.34,0,14.72,4.02,40.16,0,0,5.35,0,24.09,8.03,0,1.34,13.39,0,0,1.34,2.68,6.69,0,1.34
3Month,0,0.32,0,4.16,0,0,0,0.96,0,0.32,2.56,0.32,0,2.88,0.32,2.56,0.96,0.64,0.32,0,0,0.32,0.64,0,0,0.32,0,0.32,0.96,0,0,0,0.96,1.6
22Month,0,1.09,0,1.09,0,0,0.55,0,3.28,1.09,16.95,0,0.55,6.01,0,0.55,2.73,1.64,0,2.19,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0,0,1.09
