stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,12.26,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,1.07,5.35,0,1.07,0,2.14,0,0,1.07,0,0,0,4.28,0,0,1.07,0,0,0,0
21Day,0,0,1.34,12.05,1.34,1.34,0,0,0,0,0,0,0,0,0,0,5.35,1.34,2.68,0,0,1.34,0,2.68,1.34,0,0,2.68,0,0,0,0,0,0,1.34
3Month,0.32,0.64,0.96,39.03,0.32,0,0,3.84,0.64,0,0,57.59,2.88,0,16.64,1.92,22.08,2.24,5.76,3.84,0.32,1.6,1.28,0.64,0,0.96,0.64,0.32,2.88,12.8,0,0,0.32,4.48,3.52
22Month,0,0.55,3.28,10.39,1.64,0,0.55,2.19,2.73,0.55,0,116.44,0.55,0.55,23.51,0.55,3.28,1.09,7.11,0,0.55,1.09,0,0.55,0,1.09,0.55,1.09,0.55,9.84,0,0.55,0,0,1.64
