stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,4.09,0,0,24.52,0,0,16.35,8.17,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,1.07,22.47,0,0
21Day,1.34,0,1.34,0,8.03,0,0,0,0,16.06,0,0
3Month,0,0.32,0.32,0.64,1.28,0.64,0.64,0,0,7.68,0.32,0.32
